2491,Education Advisers & Reviewers,0,0,0,0,0,3,0,0,1,5,5,3,45,4,180,521,36,10,16,830
2492,Private Tutors & Teachers,5,0,14,0,0,0,35,10,2,5,1,0,16,7,40,1521,75,40,37,1809
2493,Teachers of English to Speakers of Other Languages,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,378,8,0,0,407
2511,Dietitians,0,0,0,0,0,6,0,0,0,0,0,0,11,0,8,8,211,0,7,252
2512,Medical Imaging Professionals,0,0,0,0,0,0,0,0,0,0,0,0,3,22,9,13,1029,0,0,1078
2513,Occupational & Environmental Health Professionals,15,107,147,50,159,25,19,4,40,3,29,4,104,29,310,75,172,5,22,1322
2514,Optometrists & Orthoptists,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,1,202,0,0,213
2515,Pharmacists,0,0,41,0,0,33,1096,0,0,4,0,0,15,0,20,30,291,0,0,1532
2519,Other Health Diagnostic & Promotion Professionals,0,0,13,0,0,0,0,0,0,0,0,0,17,3,46,22,428,6,19,555
2521,Chiropractors & Osteopaths,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,309,0,0,313
2522,Complementary Health Therapists,0,0,0,0,0,3,23,10,0,0,0,0,1,0,7,2,306,0,3,355
2523,Dental Practitioners,0,0,0,0,0,0,0,0,0,0,36,0,2,9,7,18,818,0,0,892
2524,Occupational Therapists,0,5,0,0,0,0,0,0,0,0,5,0,14,0,64,15,639,0,14,759
2525,Physiotherapists,0,0,1,0,0,9,0,0,0,0,0,0,13,0,28,25,1371,4,4,1457
2526,Podiatrists,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,286,0,0,289
2527,Speech Professionals & Audiologists,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82,44,396,0,8,532
2531,Generalist Medical Practitioners,0,0,1,1,0,5,1,0,0,1,1,0,12,11,67,42,3468,1,4,3616
2532,Anaesthetists,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,323,0,0,334
2533,Internal Medicine Specialists,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,14,454,0,0,490
2534,Psychiatrists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,223,0,0,236
2535,Surgeons,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,9,424,0,0,446
2539,Other Medical Practitioners,0,0,0,0,0,0,4,0,0,0,0,0,7,3,12,12,693,0,0,733
2541,Midwives,0,0,1,0,0,0,0,0,0,0,0,0,3,29,6,16,1330,0,4,1390
2542,Nurse Educators & Researchers,0,0,0,0,0,0,4,0,0,0,0,0,15,4,7,63,262,0,5,360
2543,Nurse Managers,0,0,0,0,0,0,0,4,0,0,0,0,6,18,26,5,855,0,8,924
2544,Registered Nurses,7,10,21,3,8,10,28,9,2,3,46,0,51,520,395,155,16547,4,83,17903
2611,ICT Business & Systems Analysts,4,13,90,63,6,40,12,0,20,40,115,8,312,8,258,51,32,1,9,1082
2612,Multimedia Specialists & Web Developers,0,1,14,6,0,2,13,0,5,30,7,0,264,9,27,38,12,10,4,443
2613,Software & Applications Programmers,11,21,393,66,21,89,81,1,84,151,225,13,1784,50,543,187,96,18,22,3856
2621,"Database & Systems Administrators, & ICT Security Specialists",6,37,139,57,27,68,48,4,41,66,102,11,413,29,288,190,116,14,17,1670
2631,Computer Network Professionals,0,22,112,42,14,44,27,0,28,87,55,6,419,15,180,210,61,7,23,1355
2632,ICT Support & Test Engineers,0,10,30,21,3,18,4,0,3,17,39,0,120,4,81,18,6,3,5,382
2633,Telecommunications Engineering Professionals,0,4,14,20,11,21,7,0,1,187,9,0,76,4,40,12,2,0,8,417
2711,Barristers,0,0,0,0,0,0,0,6,0,0,0,0,277,0,195,3,0,0,0,483
2712,Judicial & Other Legal Professionals,0,4,5,10,4,0,0,0,0,5,17,0,79,0,267,14,44,0,13,464
2713,Solicitors,5,22,20,10,3,8,6,4,8,1,52,0,2230,0,252,35,7,0,17,2681
2721,Counsellors,0,0,6,0,0,0,4,3,0,0,18,0,61,76,133,469,676,4,32,1484
2722,Ministers of Religion,0,0,1,0,0,0,7,0,0,0,4,0,7,7,11,126,125,0,973,1264
2723,Psychologists,0,0,1,0,0,0,0,0,0,0,0,0,22,18,167,84,711,0,10,1014
2724,Social Professionals,5,5,5,0,6,0,5,0,0,8,0,0,330,6,119,91,47,11,7,647
2725,Social Workers,0,0,1,0,0,1,3,3,0,0,1,12,9,22,848,55,1053,0,23,2034
2726,"Welfare, Recreation & Community Arts Workers",0,0,1,0,0,0,6,6,7,0,15,0,37,10,341,25,828,25,36,1338
3111,Agricultural Technicians,54,3,16,0,0,7,0,0,0,0,4,0,37,3,15,23,1,0,8,174
3112,Medical Technicians,0,10,59,5,3,53,257,0,2,1,17,0,59,1,27,41,1314,0,12,1860
3113,Primary Products Inspectors,23,1,23,1,0,11,0,0,3,0,0,0,10,0,211,5,1,0,3,295
3114,Science Technicians,27,134,294,63,11,20,11,3,1,5,3,0,232,15,87,290,57,3,12,1270
3121,"Architectural, Building & Surveying Technicians",5,49,258,99,1878,46,26,8,25,7,10,35,727,24,247,41,32,3,21,3542
3122,Civil Engineering Draftspersons & Technicians,0,10,79,27,108,4,0,0,8,0,3,8,349,1,137,8,2,0,4,751
3123,Electrical Engineering Draftspersons & Technicians,0,43,120,115,117,14,6,0,17,3,0,0,114,7,29,5,6,0,31,627
3124,Electronic Engineering Draftspersons & Technicians,0,7,131,9,14,12,5,0,14,39,0,0,56,0,101,15,8,4,16,433
3125,Mechanical Engineering Draftspersons & Technicians,0,9,153,15,20,20,3,0,4,0,0,0,127,0,17,7,1,0,26,403
3126,Safety Inspectors,0,39,30,4,18,10,0,0,4,0,5,0,26,7,118,6,10,0,0,279
3129,Other Building & Engineering Technicians,14,426,376,64,68,35,4,3,41,1,1,1,230,18,52,19,31,0,30,1413
3131,ICT Support Technicians,13,44,164,78,29,100,123,7,50,311,255,16,625,50,416,381,156,30,82,2932
3132,Telecommunications Technical Specialists,0,5,18,10,32,6,5,0,14,190,5,0,19,0,21,2,1,0,6,334
3211,Automotive Electricians,0,22,47,0,12,32,32,0,23,0,0,0,9,0,1,0,0,0,256,436
3212,Motor Mechanics,47,70,392,41,110,390,1074,5,430,1,20,55,20,54,152,15,9,22,3558,6464
3221,"Metal Casting, Forging & Finishing Trades Workers",53,0,171,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,1,238
3222,Sheetmetal Trades Workers,3,9,480,0,50,4,4,0,1,0,0,0,5,0,4,0,0,0,13,574
3223,Structural Steel & Welding Trades Workers,51,148,3708,124,550,65,16,13,99,8,3,9,62,62,32,10,6,10,193,5168
3231,Aircraft Maintenance Engineers,1,1,235,1,12,2,4,0,219,0,0,0,56,0,482,17,10,0,13,1055
3232,Metal Fitters & Machinists,124,679,2650,259,342,423,75,14,186,22,4,80,67,99,78,20,33,9,717,5881
3233,Precision Metal Trades Workers,6,4,110,5,21,27,72,0,1,3,0,0,4,6,75,0,19,0,152,506
3234,Toolmakers & Engineering Patternmakers,7,6,679,5,12,15,5,0,1,0,0,0,4,3,9,4,7,0,25,782
3241,Panelbeaters,0,1,41,1,9,6,21,0,20,0,6,0,4,0,1,0,0,0,902,1014
3242,Vehicle Body Builders & Trimmers,0,0,144,0,5,5,15,3,16,0,0,0,28,0,0,0,0,0,124,342
3243,Vehicle Painters,0,1,103,1,60,16,31,0,13,0,0,4,8,3,6,0,0,0,678,925
3311,Bricklayers & Stonemasons,0,7,197,8,1627,1,1,0,0,0,5,0,1,8,18,0,1,0,11,1887
3312,Carpenters & Joiners,11,13,588,16,4668,24,24,21,8,5,4,11,11,59,35,19,33,15,127,5692
3321,Floor Finishers,0,0,19,0,554,7,63,0,3,0,0,0,1,14,0,3,3,0,8,678
3322,Painting Trades Workers,0,5,66,1,2649,12,12,15,9,1,0,5,9,12,8,8,16,13,28,2869
3331,Glaziers,0,0,187,0,266,7,16,0,0,0,0,0,0,0,0,0,0,0,5,483
3332,Plasterers,0,1,32,5,1905,1,4,7,4,0,0,0,4,4,4,1,1,0,9,1984
3333,Roof Tilers,0,0,7,3,360,0,10,0,0,0,0,0,0,0,0,0,0,0,5,388
3334,Wall & Floor Tilers,0,1,15,1,1362,1,10,0,0,0,0,0,1,5,1,0,0,0,1,1400
3341,Plumbers,14,17,126,87,3992,32,37,20,48,1,0,5,17,18,62,38,20,1,106,4639
3411,Electricians,8,208,1187,493,4780,109,104,33,103,31,3,12,76,102,118,136,52,14,395,7965
3421,Airconditioning & Refrigeration Mechanics,0,8,133,4,620,16,62,12,26,1,4,4,2,16,9,23,22,0,627,1589
3422,Electrical Distribution Trades Workers,0,1,9,519,87,0,1,0,0,0,0,0,1,0,7,1,0,0,6,633
3423,Electronics Trades Workers,0,24,136,25,289,132,209,3,31,45,20,37,168,31,187,50,7,36,412,1845
3424,Telecommunications Trades Workers,0,15,22,20,261,25,23,0,5,728,0,0,15,12,19,15,8,0,55,1223
3511,Bakers & Pastrycooks,0,1,1178,1,3,90,448,228,0,0,3,5,1,3,1,5,11,4,2,1986
3512,Butchers & Smallgoods Makers,9,1,159,1,6,187,1186,11,0,0,0,0,1,0,1,3,1,0,5,1571
3513,Chefs,6,18,59,2,14,10,46,3196,29,6,3,23,8,21,33,23,235,55,15,3803
3514,Cooks,27,12,98,2,19,34,164,2247,17,9,3,6,4,58,41,34,788,38,19,3621
3611,Animal Attendants & Trainers,88,1,3,0,5,4,22,3,0,0,0,0,42,3,19,49,20,206,432,898
3612,Shearers,433,0,4,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,447
3613,Veterinary Nurses,1,0,2,0,1,0,0,0,0,0,0,0,611,0,0,3,11,9,14,655
3621,Florists,2,0,1,0,1,29,380,7,0,0,0,0,0,1,2,0,0,1,0,425
3622,Gardeners,191,2,70,7,1269,30,44,50,6,4,5,15,34,1430,495,85,259,131,52,4180
3623,Greenkeepers,13,1,10,5,23,6,5,54,5,0,0,6,3,68,83,417,44,271,19,1033
3624,Nurserypersons,64,0,9,0,0,82,47,0,0,0,0,0,3,7,6,3,3,0,0,225
3911,Hairdressers,1,3,22,2,11,11,119,11,4,3,0,0,3,1,7,6,43,12,4059,4316
3921,"Binders, Finishers & Screen Printers",0,0,268,0,1,11,9,0,0,50,0,0,0,0,0,0,0,0,1,341
3922,Graphic Pre-press Trades Workers,0,0,158,0,0,3,3,0,0,68,0,0,23,13,0,5,0,0,3,279
3923,Printers,0,1,745,0,2,13,9,0,0,131,5,0,18,23,6,5,3,0,7,968
3931,Canvas & Leather Goods Makers,0,0,181,0,0,0,28,0,0,0,0,0,3,0,0,0,4,0,61,280
3932,Clothing Trades Workers,0,0,190,0,1,4,48,4,0,0,0,0,0,4,4,0,5,18,79,359
3933,Upholsterers,0,0,165,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,34,215
3941,Cabinetmakers,0,1,1488,1,199,25,25,0,4,1,0,3,1,30,1,4,11,0,31,1828
3942,Wood Machinists & Other Wood Trades Workers,0,0,380,0,6,26,63,0,0,0,0,0,0,7,0,0,3,4,15,507
3991,Boat Builders & Shipwrights,4,0,149,0,5,0,19,0,4,0,0,0,3,3,0,0,0,0,9,198
3992,"Chemical, Gas, Petroleum & Power Generation Plant Operators",3,257,134,188,14,7,4,0,17,0,0,0,15,5,0,0,0,0,10,656
3993,"Gallery, Library & Museum Technicians",0,0,3,1,1,0,3,0,0,81,0,0,6,3,237,119,14,6,1,477
3994,Jewellers,0,0,158,1,1,11,112,0,0,0,0,0,3,0,0,0,0,0,10,297
3995,Performing Arts Technicians,0,0,20,1,12,24,70,10,0,175,0,38,26,12,11,28,3,99,63,596
3996,Signwriters,0,0,253,1,6,0,3,0,0,0,0,6,130,0,10,0,0,0,1,412
3999,Other Miscellaneous Technicians & Trades Workers,123,9,186,28,149,30,119,6,20,10,25,10,50,12,124,4,342,3,84,1335
4111,Ambulance Officers & Paramedics,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,901,0,0,917
4112,"Dental Hygienists, Technicians & Therapists",0,0,174,0,0,4,0,0,4,0,0,0,0,0,4,5,440,0,0,632
4113,Diversional Therapists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,381,4,0,408
4114,Enrolled & Mothercraft Nurses,0,0,0,0,0,0,4,0,0,0,4,0,1,135,71,7,2946,0,6,3174
4115,Indigenous Health Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,143,0,4,158
4116,Massage Therapists,0,0,0,0,0,0,3,9,0,0,0,0,5,0,1,3,704,5,42,773
4117,Welfare Support Workers,5,3,3,4,9,4,7,48,4,3,0,109,44,326,1356,194,2522,17,233,4891
4211,Child Carers,11,0,4,0,9,4,23,16,8,0,6,0,8,113,146,1903,5132,101,243,7728
4221,Education Aides,0,0,0,0,0,4,0,4,0,0,1,0,3,9,160,4144,98,7,8,4437
4231,Aged & Disabled Carers,4,0,11,0,8,2,13,25,6,0,19,11,6,433,705,30,10780,4,88,12145
4232,Dental Assistants,0,0,3,0,0,3,0,0,0,0,41,0,0,12,11,6,1465,0,1,1543
4233,Nursing Support & Personal Care Workers,0,0,0,0,0,1,3,25,4,0,5,0,3,281,72,9,5448,0,25,5876
4234,Special Care Workers,0,0,0,0,0,0,0,8,0,0,0,0,0,8,8,99,60,0,5,189
4311,Bar Attendants & Baristas,7,4,41,3,3,16,120,4272,13,10,3,13,6,10,9,13,32,188,20,4783
4312,Cafe Workers,0,0,108,0,0,12,188,1598,8,10,0,1,1,4,10,93,48,77,21,2178
4313,Gaming Workers,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,331,0,366
