ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
1351,ICT Managers,"2,928","1,157","1,146","1,849","2,159","2,612","2,379",906,572,"1,203","1,414","1,976","2,661",986,840,"1,616","1,933","2,397",24,308,622,491,222,13,"1,680",7,27,126,91,30,66,44,1,30,146,106,14,475,24,258,100,90,8,23,"1,665",811,294,188,19,316,"1,629","1,367",202,82,10,5,0,"1,667","1,673",5,"1,677",120,54,412,2,10,11,7,12,355,447,238,13,"1,681",0,0,0,0,0,0,43,59,59,67,67,80
1391,Commissioned Officers (Management),245,1,168,55,66,16,245,0,167,51,60,13,245,1,167,54,64,15,47,124,111,119,55,5,461,0,0,7,1,2,2,1,0,8,0,1,0,2,1,427,4,1,0,4,462,224,83,48,7,88,449,356,69,32,3,0,0,461,459,0,459,33,23,83,6,0,3,7,1,147,79,64,10,462,0,0,0,0,0,0,4,10,15,17,34,25
1392,Senior Non-commissioned Defence Force Members,0,0,4,3,7,6,0,0,3,1,5,5,0,0,3,3,6,5,3,31,73,57,12,0,176,0,0,1,0,1,1,0,0,0,0,0,0,1,0,166,0,1,0,0,173,15,66,42,0,48,171,102,35,33,0,0,0,170,175,0,175,13,22,20,0,0,0,0,0,87,18,13,0,176,0,0,0,0,0,0,5,5,6,7,8,10
1399,Other Specialist Managers,"2,504","3,095","3,459","3,120","3,607","4,407","1,614","2,076","1,835","1,897","2,818","3,170","2,327","2,742","2,981","2,846","3,553","3,942",76,489,868,887,563,69,"2,953",46,66,608,197,151,87,97,22,94,46,100,21,186,70,494,120,251,206,59,"2,922","1,228",499,544,23,591,"2,885","2,057",546,284,40,7,0,"2,935","2,926",20,"2,946",191,146,473,69,48,55,72,106,560,728,438,64,"2,955",0,0,0,0,0,0,97,106,137,108,141,169
1411,Cafe & Restaurant Managers,"3,410","4,282","3,331","5,504","5,483","4,267","1,592","1,904","1,685","1,817","2,570","2,040","2,924","3,562","2,474","4,160","3,872","3,545",254,748,904,974,525,88,"3,494",10,1,62,5,11,20,155,"2,662",18,8,7,5,17,16,31,198,187,41,19,"3,473",481,322,670,53,"1,834","3,361","1,974",739,523,132,58,17,"3,443","3,458",12,"3,469",156,120,644,73,44,123,156,78,648,748,570,128,"3,494",0,0,0,0,0,0,255,252,259,218,301,298
1412,Caravan Park & Camping Ground Managers,0,466,515,768,550,497,0,346,313,483,236,334,0,466,515,625,549,496,3,27,53,113,99,21,315,0,0,5,0,1,1,6,274,0,0,4,5,1,5,5,0,1,6,0,314,17,25,88,3,169,303,104,81,87,28,5,0,305,312,0,312,1,20,8,42,33,28,35,43,10,25,13,56,316,0,1,0,2,0,0,0,0,0,0,0,0
1413,Hotel & Motel Managers,"2,291","1,798","1,481","3,480","2,285","1,339","1,572","1,428",992,"1,679","1,307",823,"2,291","1,671","1,303","3,183","1,946","1,337",108,426,397,407,313,73,"1,724",1,1,10,1,4,7,16,"1,613",8,1,2,6,3,8,4,1,13,8,8,"1,713",189,154,370,32,897,"1,642",924,403,275,68,24,3,"1,697","1,710",7,"1,717",88,86,237,94,76,81,110,91,204,264,205,189,"1,726",0,0,0,0,0,0,206,203,207,182,248,244
1414,Licensed Club Managers,819,725,300,"1,137","1,006",414,324,333,123,602,539,216,546,611,184,"1,049",650,344,58,131,116,123,81,13,523,0,0,6,0,5,1,6,428,1,0,1,0,1,4,5,0,4,58,1,522,28,45,116,24,292,505,210,169,104,19,3,0,505,515,5,520,22,19,43,34,16,14,42,30,104,103,79,20,524,0,0,0,0,0,0,103,101,102,78,111,107
1419,Other Accommodation & Hospitality Managers,422,458,604,673,404,492,59,50,115,298,9,281,167,66,350,487,149,259,4,40,72,152,161,62,492,0,4,7,0,4,1,1,287,1,0,6,11,1,25,10,8,101,21,1,489,103,78,106,5,182,475,265,106,73,34,5,0,484,475,15,490,34,44,62,11,14,63,32,14,35,99,41,40,493,0,0,0,0,0,0,15,13,13,12,18,19
1421,Retail Managers,"18,138","17,523","18,798","17,450","17,753","16,435","11,123","9,063","10,024","9,337","9,824","7,630","15,582","15,274","15,999","14,846","15,032","14,206","1,703","3,198","3,592","3,765","2,308",513,"15,080",75,9,591,29,134,669,"10,146","1,613",380,113,64,158,76,133,53,46,130,83,463,"14,966","1,531","1,275","3,071",371,"8,243","14,492","8,008","3,665","2,352",529,242,25,"14,821","14,938",55,"14,993",760,619,"2,008",527,208,464,670,611,"3,130","3,451","1,916",705,"15,079",141,171,21,25,104,106,"12,954","13,421","16,767","10,384","17,250","14,191"
