ANZSCO,,Total Employed,,,,,,Male Employment,,,,,,Full Time Employment,,,,,,Age Groups,,,,,,,Industry Groups,,,,,,,,,,,,,,,,,,,,Qualification Levels,,,,,,Schooling Levels,,,,,,,Indigenous Status,,,State Government Regions,,,,,,,,,,,,,Apprentiships and Traineeships,,,,,,VET Students,,,,,
Code,Occupation,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,Feb-08,Feb-09,Feb-10,Feb-11,Feb-12,Feb-13,15-24,25-34,35-44,45-54,55-64,65+,Total,"Agriculture, Forestry & Fishing",Mining,Manufacturing,"Electricity, Gas, Water & Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation & Food Services,"Transport, Postal & Warehousing",Information Media & Telecommunications,Financial & Insurance Services,"Rental, Hiring & Real Estate Services","Professional, Scientific & Technical Services",Administrative & Support Services,Public Administration & Safety,Education & Training,Health Care & Social Assistance,Arts & Recreation Services,Other Services,Total,Bachelor or Higher,Diploma or Advance Diploma,Certificate III or IV,Certificate I or II,Not Applicable,Total,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Total,Non-Indigenous,Indigenous,Total,Adelaide Hills,Barossa,Eastern Adelaide,Eyre & Western,Far North,Fleurieu & Kangaroo Island,Limestone Coast,Murray & Mallee,Northern Adelaide,Southern Adelaide,Western Adelaide,Yorke & Mid North,Total,2006,2007,2008,2009,2010,2011,2006,2007,2008,2009,2010,2011
3232,Metal Fitters & Machinists,"7,562","6,726","7,251","6,061","7,963","7,421","7,485","6,726","7,251","6,061","7,963","7,421","7,380","6,486","6,741","5,741","7,771","7,023",910,"1,223","1,379","1,461",909,124,"6,007",124,679,"2,650",259,342,423,75,14,186,22,4,80,67,99,78,20,33,9,717,"5,881",82,210,"4,672",30,881,"5,874","2,161","2,364","1,143",162,67,4,"5,901","5,929",54,"5,983",216,396,243,491,439,103,421,251,"1,439","1,008",624,367,"6,005",153,172,184,164,136,155,"2,402","2,298","2,366","1,143","2,083","1,892"
3233,Precision Metal Trades Workers,845,575,785,991,514,327,673,539,785,991,361,278,844,575,649,780,473,327,62,105,118,120,89,23,517,6,4,110,5,21,27,72,0,1,3,0,0,4,6,75,0,19,0,152,506,19,31,293,10,149,502,202,177,96,21,13,0,509,508,4,512,23,18,39,30,6,10,49,13,140,122,58,11,518,18,24,31,25,23,25,184,177,182,84,163,151
3234,Toolmakers & Engineering Patternmakers,761,912,785,768,608,698,761,912,785,768,608,698,761,912,723,768,604,509,51,148,200,201,156,41,797,7,6,679,5,12,15,5,0,1,0,0,0,4,3,9,4,7,0,25,782,9,46,559,0,142,756,340,255,151,15,22,0,783,790,0,790,31,39,49,8,5,11,1,12,248,263,126,6,798,35,39,42,37,31,35,327,312,320,123,262,227
3241,Panelbeaters,"1,542","1,455","1,171","1,250",433,724,"1,542","1,455","1,171","1,250",433,724,"1,542","1,386","1,170",935,388,702,223,190,249,202,138,30,"1,032",0,1,41,1,9,6,21,0,20,0,6,0,4,0,1,0,0,0,902,"1,014",4,11,706,6,258,985,255,319,332,67,31,3,"1,005","1,010",14,"1,023",54,41,79,27,7,23,51,60,264,220,152,53,"1,032",50,5,2,0,0,0,206,198,210,182,223,232
3242,Vehicle Body Builders & Trimmers,366,366,801,356,225,505,288,366,801,356,225,505,327,308,692,356,224,497,27,69,88,86,63,11,344,0,0,144,0,5,5,15,3,16,0,0,0,28,0,0,0,0,0,124,342,3,5,218,0,105,330,90,120,88,27,12,0,338,342,1,342,7,27,14,8,0,8,10,5,126,72,56,8,342,67,141,174,135,137,142,75,70,72,52,72,70
3243,Vehicle Painters,985,"1,138",284,922,674,637,941,"1,138",284,856,554,637,984,"1,138",283,922,582,527,226,242,237,148,76,13,942,0,1,103,1,60,16,31,0,13,0,0,4,8,3,6,0,0,0,678,925,4,10,584,4,304,906,261,288,275,68,18,0,910,925,5,930,37,57,73,25,9,20,35,35,294,195,126,35,941,45,3,3,0,0,0,249,238,251,218,269,277
3311,Bricklayers & Stonemasons,"2,196","2,558","1,966","3,377","1,696","1,336","2,196","2,446","1,953","3,322","1,696","1,289","2,027","2,400","1,856","3,138","1,485","1,142",427,397,422,380,248,54,"1,928",0,7,197,8,"1,627",1,1,0,0,0,5,0,1,8,18,0,1,0,11,"1,887",23,33,999,8,792,"1,856",539,548,565,157,82,0,"1,890","1,889",21,"1,910",101,97,185,63,18,75,75,41,478,492,233,68,"1,928",75,102,130,120,129,83,269,265,301,292,458,391
3312,Carpenters & Joiners,"4,720","7,496","7,351","5,758","8,809","7,188","4,672","7,496","7,314","5,695","8,635","7,188","4,453","7,204","6,919","5,571","7,922","6,806","1,821","1,255",966,951,641,120,"5,754",11,13,588,16,"4,668",24,24,21,8,5,4,11,11,59,35,19,33,15,127,"5,692",53,83,"3,857",30,"1,639","5,662","2,151","1,856","1,280",272,93,7,"5,660","5,651",67,"5,717",309,288,464,223,82,220,256,176,"1,196","1,632",677,224,"5,757",396,527,613,521,671,446,"1,359","1,323","1,503","1,465","2,309","1,981"
3321,Floor Finishers,723,"1,025","1,061",764,556,445,723,"1,025","1,056",702,556,445,600,860,709,632,502,445,137,156,170,135,87,14,699,0,0,19,0,554,7,63,0,3,0,0,0,1,14,0,3,3,0,8,678,6,12,235,9,403,667,242,201,174,47,20,0,685,692,4,696,26,30,50,19,3,19,26,18,204,195,78,29,700,23,18,23,25,25,14,61,60,70,67,109,93
3322,Painting Trades Workers,"2,766","2,859","4,343","3,629","2,336","3,418","2,726","2,762","4,074","3,429","2,156","3,271","2,401","2,637","3,209","2,927","2,124","3,089",372,524,653,741,509,106,"2,905",0,5,66,1,"2,649",12,12,15,9,1,0,5,9,12,8,8,16,13,28,"2,869",46,62,"1,492",24,"1,172","2,797",900,817,751,212,136,9,"2,824","2,852",27,"2,879",112,126,276,94,30,105,138,101,747,683,385,103,"2,906",70,143,98,98,95,75,355,348,395,378,595,515
3331,Glaziers,672,748,591,194,368,396,672,748,588,194,368,396,547,748,588,194,367,293,95,126,106,104,46,11,489,0,0,187,0,266,7,16,0,0,0,0,0,0,0,0,0,0,0,5,483,4,8,248,5,199,464,144,179,130,18,10,0,482,481,3,485,31,17,34,17,6,12,25,20,119,115,66,23,487,22,19,34,9,20,19,79,76,86,84,128,116
3332,Plasterers,"2,238","1,643","2,193","3,143","3,234","2,588","2,238","1,643","2,180","3,095","3,234","2,588","2,105","1,355","2,113","2,855","3,037","2,422",388,583,490,358,161,29,"2,009",0,1,32,5,"1,905",1,4,7,4,0,0,0,4,4,4,1,1,0,9,"1,984",46,42,803,14,"1,007","1,913",618,558,530,168,63,13,"1,950","1,966",20,"1,986",78,63,162,39,4,66,78,52,608,561,242,53,"2,009",51,60,82,64,78,50,355,354,409,352,547,487
3333,Roof Tilers,700,415,696,503,640,424,700,415,694,503,640,424,540,415,694,458,518,278,88,96,95,68,42,6,396,0,0,7,3,360,0,10,0,0,0,0,0,0,0,0,0,0,0,5,388,4,5,131,5,228,373,100,121,116,26,21,0,385,388,0,389,15,25,12,10,0,15,7,6,113,130,53,9,396,6,7,2,1,1,1,36,35,40,37,59,50
3334,Wall & Floor Tilers,"1,479","2,247","2,126","1,174","1,533","1,535","1,479","2,247","2,074","1,062","1,533","1,535","1,299","2,108","2,117","1,072","1,431","1,392",288,368,356,248,141,24,"1,424",0,1,15,1,"1,362",1,10,0,0,0,0,0,1,5,1,0,0,0,1,"1,400",20,23,765,5,539,"1,353",506,392,315,80,74,22,"1,389","1,400",6,"1,407",55,43,209,32,5,38,40,35,391,285,266,25,"1,423",51,40,70,70,76,50,263,262,302,293,470,402
3341,Plumbers,"3,869","3,244","4,749","5,802","4,240","5,006","3,828","3,197","4,719","5,802","4,240","5,006","3,676","3,073","4,655","5,199","3,792","4,697","1,273","1,162",857,768,546,101,"4,707",14,17,126,87,"3,992",32,37,20,48,1,0,5,17,18,62,38,20,1,106,"4,639",49,68,"3,250",15,"1,225","4,608","1,682","1,617","1,054",193,63,5,"4,614","4,654",28,"4,682",229,188,378,125,57,150,211,139,"1,128","1,330",610,156,"4,708",305,357,467,352,452,273,"1,456","1,390","1,482","1,415","2,237","1,939"
3411,Electricians,"10,198","7,543","8,143","8,944","10,176","9,472","9,979","7,364","8,083","8,944","10,176","9,304","9,909","7,223","7,472","8,361","9,537","8,896","2,015","1,996","1,595","1,407",933,153,"8,099",8,208,"1,187",493,"4,780",109,104,33,103,31,3,12,76,102,118,136,52,14,395,"7,965",144,278,"5,984",45,"1,549","8,001","4,316","2,560",968,106,32,3,"7,986","8,012",45,"8,056",353,362,672,395,237,164,346,239,"1,868","2,039","1,098",318,"8,099",590,693,683,524,786,697,363,733,841,"1,111","1,831","2,364"
3421,Airconditioning & Refrigeration Mechanics,"1,949","2,131","2,154","2,152","2,133","1,723","1,949","2,131","2,154","2,101","2,133","1,723","1,949","2,131","2,111","2,006","2,087","1,619",430,419,351,245,173,23,"1,641",0,8,133,4,620,16,62,12,26,1,4,4,2,16,9,23,22,0,627,"1,589",24,51,"1,112",9,422,"1,617",733,541,280,43,11,0,"1,608","1,624",11,"1,634",74,70,111,51,29,24,54,42,477,416,233,58,"1,639",126,126,141,120,141,103,78,146,167,207,346,445
3422,Electrical Distribution Trades Workers,582,866,982,"1,116",471,843,582,866,982,"1,116",471,843,582,866,982,"1,051",471,843,107,118,129,206,70,9,639,0,1,9,519,87,0,1,0,0,0,0,0,1,0,7,1,0,0,6,633,14,24,466,4,121,628,298,227,99,5,5,0,634,631,7,638,48,37,19,42,21,35,36,38,146,111,54,53,640,31,35,56,52,25,33,14,31,36,53,84,109
3423,Electronics Trades Workers,"4,126","3,168","2,539","2,003","2,438","1,966","4,038","3,097","2,053","1,953","2,321","1,869","3,493","2,703","1,668","1,475","1,644","1,588",241,440,468,437,248,48,"1,881",0,24,136,25,289,132,209,3,31,45,20,37,168,31,187,50,7,36,412,"1,845",141,252,779,56,531,"1,760","1,083",498,234,35,10,0,"1,860","1,857",8,"1,865",92,57,208,56,23,41,55,47,522,468,265,43,"1,881",24,43,35,28,69,45,268,144,152,170,210,240
3424,Telecommunications Trades Workers,857,"1,428","1,192","2,280","1,575",995,740,"1,257","1,192","2,228","1,575",935,857,"1,312","1,023","2,280","1,525",793,133,236,308,343,209,24,"1,254",0,15,22,20,261,25,23,0,5,728,0,0,15,12,19,15,8,0,55,"1,223",55,119,668,26,338,"1,207",601,406,195,26,8,0,"1,236","1,234",16,"1,251",48,77,96,34,25,19,37,33,327,348,175,32,"1,254",32,43,15,22,26,25,64,94,102,120,163,194
3511,Bakers & Pastrycooks,"1,539","2,913","1,811","2,655","2,682","1,441","1,031","1,910",950,"2,063","1,877",826,"1,307","2,318","1,242","2,150","2,317",952,468,517,435,364,174,44,"2,001",0,1,"1,178",1,3,90,448,228,0,0,3,5,1,3,1,5,11,4,2,"1,986",93,93,818,20,894,"1,918",825,492,423,115,73,20,"1,948","1,969",15,"1,984",108,84,206,56,20,75,79,66,488,430,330,62,"2,003",114,102,159,105,91,85,393,376,375,285,434,376
3512,Butchers & Smallgoods Makers,"1,287","1,211","1,170","1,653","1,636","1,646","1,287","1,211","1,170","1,653","1,584","1,509","1,239","1,108","1,046","1,511","1,333","1,530",419,321,291,275,225,57,"1,588",9,1,159,1,6,187,"1,186",11,0,0,0,0,1,0,1,3,1,0,5,"1,571",15,18,"1,034",9,461,"1,537",406,423,468,154,67,16,"1,534","1,538",28,"1,566",86,72,83,73,26,59,95,86,401,322,182,106,"1,589",171,151,168,234,193,194,372,368,397,276,423,377
3513,Chefs,"4,560","3,904","2,471","5,047","4,492","4,757","2,868","2,675","1,760","3,877","3,825","2,998","3,146","3,414","1,701","3,765","3,700","3,461",610,"1,326",965,650,265,23,"3,839",6,18,59,2,14,10,46,"3,196",29,6,3,23,8,21,33,23,235,55,15,"3,803",200,299,"2,280",31,887,"3,697","1,967",883,668,114,89,35,"3,756","3,787",26,"3,814",160,143,632,89,57,129,122,103,798,835,663,101,"3,840",0,0,0,0,0,0,"1,475","1,395","1,384","1,038","1,611","1,385"
3514,Cooks,"1,794","2,006","3,066","2,813","3,756","3,049",595,553,"1,091","1,458","1,114","1,151","1,155",794,"1,557","1,341","1,493","1,342",891,673,656,841,539,83,"3,683",27,12,98,2,19,34,164,"2,247",17,9,3,6,4,58,41,34,788,38,19,"3,621",198,252,815,95,"2,130","3,490","1,558",855,754,219,152,31,"3,569","3,581",67,"3,648",153,168,451,164,141,145,197,194,694,617,469,280,"3,684",367,389,370,362,391,373,552,361,380,288,421,393
3611,Animal Attendants & Trainers,792,829,"1,005","1,315","1,369","1,061",243,345,552,576,599,278,330,485,261,709,967,532,145,182,227,206,118,39,917,88,1,3,0,5,4,22,3,0,0,0,0,42,3,19,49,20,206,432,898,77,78,163,45,526,888,408,209,201,64,20,4,907,911,4,915,99,95,53,33,7,71,36,51,180,189,82,19,917,50,41,44,25,19,69,89,86,88,109,139,139
3612,Shearers,332,808,310,918,935,"1,260",332,808,310,918,935,"1,205",277,808,197,918,876,"1,009",84,128,110,109,34,6,471,433,0,4,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,447,0,4,84,12,352,452,106,149,128,54,27,3,467,464,6,470,9,16,0,91,11,16,100,82,4,12,1,124,473,0,0,0,0,0,0,33,29,30,33,49,45
3613,Veterinary Nurses,"1,202","1,208",461,497,761,"1,259",1,0,3,1,3,3,476,744,270,212,282,930,213,233,131,66,21,0,663,1,0,2,0,1,0,0,0,0,0,0,0,611,0,0,3,11,9,14,655,42,59,235,99,174,610,450,143,51,9,0,0,654,647,11,658,47,55,47,19,5,41,23,42,157,142,55,30,663,15,30,35,28,46,31,186,282,313,347,379,398
3621,Florists,943,626,565,437,389,235,78,200,11,1,51,93,460,353,155,1,338,235,70,89,105,86,61,14,425,2,0,1,0,1,29,380,7,0,0,0,0,0,1,2,0,0,1,0,425,30,20,111,12,220,392,192,115,80,15,8,0,411,424,3,427,26,14,70,7,5,13,17,12,86,97,65,14,426,20,11,14,6,11,6,98,98,97,104,110,106
3622,Gardeners,"4,250","3,707","4,140","5,489","5,591","5,114","3,704","3,603","4,068","5,160","5,207","4,859","2,602","2,494","3,299","3,493","4,020","3,612",651,893,921,"1,034",629,146,"4,275",191,2,70,7,"1,269",30,44,50,6,4,5,15,34,"1,430",495,85,259,131,52,"4,180",207,278,"1,527",91,"2,032","4,134","1,736","1,161",891,249,155,3,"4,195","4,174",59,"4,233",414,210,374,107,42,199,143,157,880,"1,135",450,156,"4,275",181,167,192,195,586,418,"1,716","1,476","1,400",827,"1,528","1,215"
3623,Greenkeepers,"1,245","1,794","1,343",811,"1,000","1,882","1,194","1,794","1,343",811,"1,000","1,882",854,"1,550","1,102",696,869,"1,053",112,123,182,300,270,68,"1,056",13,1,10,5,23,6,5,54,5,0,0,6,3,68,83,417,44,271,19,"1,033",20,63,419,13,502,"1,017",325,319,269,68,48,0,"1,028","1,034",20,"1,054",72,67,64,65,26,52,62,64,172,227,116,69,"1,056",11,17,25,12,17,31,379,327,307,154,312,238
3624,Nurserypersons,443,355,152,58,58,238,268,289,152,58,58,191,257,245,86,0,1,238,27,44,41,54,49,15,230,64,0,9,0,0,82,47,0,0,0,0,0,3,7,6,3,3,0,0,225,14,36,68,5,96,218,106,43,53,3,9,4,218,223,5,228,23,31,20,3,3,18,10,19,23,43,27,7,229,1,1,3,1,2,1,119,102,95,47,97,72
3911,Hairdressers,"5,069","4,811","4,459","4,029","4,967","6,159",731,515,594,542,723,"1,338","3,018","2,441","2,253","2,217","1,961","3,018","1,237",955,"1,000",687,381,88,"4,349",1,3,22,2,11,11,119,11,4,3,0,0,3,1,7,6,43,12,"4,059","4,316",31,144,"3,449",20,617,"4,261","1,344","1,355","1,190",282,67,13,"4,250","4,270",35,"4,305",163,164,582,143,46,107,191,173,922,971,707,180,"4,349",505,513,478,506,465,380,741,817,826,717,952,899
3921,"Binders, Finishers & Screen Printers",697,667,433,229,216,279,563,546,433,180,113,160,697,478,432,180,113,184,29,65,99,76,62,15,346,0,0,268,0,1,11,9,0,0,50,0,0,0,0,0,0,0,0,1,341,14,16,165,0,139,334,133,95,87,15,6,0,336,339,7,346,8,9,22,0,0,5,6,0,100,123,69,0,342,18,16,56,59,56,91,66,52,51,55,66,59
3922,Graphic Pre-press Trades Workers,91,"1,098",368,245,362,560,45,633,107,198,362,541,46,738,368,245,362,560,15,62,74,75,47,11,285,0,0,158,0,0,3,3,0,0,68,0,0,23,13,0,5,0,0,3,279,25,28,156,0,64,273,149,86,38,9,0,0,282,282,0,282,25,16,42,3,0,3,1,5,60,76,44,8,285,13,15,13,18,18,16,59,46,45,51,57,52
3923,Printers,"1,355","1,229",846,"1,115",996,"1,811","1,192","1,056",846,954,949,"1,594",985,"1,055",845,"1,053",927,"1,745",100,191,279,248,132,24,974,0,1,745,0,2,13,9,0,0,131,5,0,18,23,6,5,3,0,7,968,26,41,603,6,275,950,407,311,191,22,15,0,946,963,5,968,34,52,78,3,0,5,13,31,268,305,177,6,973,43,41,60,141,90,110,202,153,145,163,182,166
3931,Canvas & Leather Goods Makers,388,188,364,348,155,435,388,70,254,348,104,435,388,117,276,287,104,435,24,31,66,79,60,20,280,0,0,181,0,0,0,28,0,0,0,0,0,3,0,0,0,4,0,61,280,9,3,86,7,154,261,90,73,64,21,23,0,271,273,0,273,8,16,14,0,0,3,9,8,95,69,47,10,281,22,1,16,2,20,10,0,0,0,0,0,0
3932,Clothing Trades Workers,572,824,624,"1,022",460,81,181,0,132,398,2,2,449,633,444,555,268,81,20,36,61,110,107,35,369,0,0,190,0,1,4,48,4,0,0,0,0,0,4,4,0,5,18,79,359,19,50,88,6,187,350,155,77,71,22,27,9,362,357,0,357,15,4,54,7,4,11,10,5,87,88,73,7,367,1,1,1,0,2,0,11,9,8,9,11,11
3933,Upholsterers,404,544,1,421,429,201,404,544,1,421,295,201,404,544,1,421,295,201,18,37,51,53,49,9,217,0,0,165,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,34,215,3,5,123,0,74,206,52,63,56,15,15,4,205,218,0,218,8,5,21,7,0,6,4,8,75,41,33,9,218,10,9,3,11,4,0,44,33,31,34,39,35
3941,Cabinetmakers,"2,248","3,143","1,254","2,761","1,639","1,181","2,248","3,143","1,254","2,559","1,639","1,181","2,165","2,972","1,153","2,714","1,639","1,119",466,449,379,328,199,36,"1,857",0,1,"1,488",1,199,25,25,0,4,1,0,3,1,30,1,4,11,0,31,"1,828",23,24,"1,220",9,542,"1,819",649,623,434,86,33,4,"1,829","1,834",6,"1,840",97,82,138,53,8,63,99,71,429,489,274,57,"1,859",129,136,128,114,135,95,577,445,424,467,539,493
3942,Wood Machinists & Other Wood Trades Workers,781,692,644,422,454,369,781,692,644,422,454,369,626,692,644,422,285,305,73,103,109,125,79,27,516,0,0,380,0,6,26,63,0,0,0,0,0,0,7,0,0,3,4,15,507,12,19,254,7,211,504,175,144,127,31,21,4,503,505,7,512,19,52,37,6,3,16,26,7,141,131,72,5,515,27,17,35,18,19,20,100,76,71,79,88,81
3991,Boat Builders & Shipwrights,297,261,301,342,372,288,297,261,301,342,372,288,297,261,301,218,372,288,25,50,44,41,36,3,198,4,0,149,0,5,0,19,0,4,0,0,0,3,3,0,0,0,0,9,198,13,10,108,3,57,192,75,72,38,12,0,0,196,197,0,197,4,4,12,9,0,12,10,14,38,37,55,3,198,7,7,5,7,17,21,61,48,33,33,44,40
3992,"Chemical, Gas, Petroleum & Power Generation Plant Operators",927,"1,109",669,683,"1,047",693,847,"1,055",669,683,"1,047",693,927,"1,109",669,559,"1,047",693,23,98,184,218,139,7,669,3,257,134,188,14,7,4,0,17,0,0,0,15,5,0,0,0,0,10,656,28,45,369,3,204,649,259,265,107,21,9,0,661,664,4,668,43,28,36,47,93,24,9,12,112,116,96,52,669,0,0,3,18,37,92,89,87,89,58,92,90
3993,"Gallery, Library & Museum Technicians",449,171,293,787,550,440,1,54,2,1,106,102,332,0,82,441,262,285,29,64,100,160,120,11,484,0,0,3,1,1,0,3,0,0,81,0,0,6,3,237,119,14,6,1,477,122,122,84,15,134,476,319,105,48,8,0,0,480,471,5,476,19,21,64,0,0,11,6,14,129,132,73,12,482,2,9,28,17,40,40,39,42,48,45,47,51
3994,Jewellers,481,357,2,48,346,240,95,120,2,1,152,185,342,289,1,1,300,185,28,59,72,67,55,16,297,0,0,158,1,1,11,112,0,0,0,0,0,3,0,0,0,0,0,10,297,46,30,125,3,89,294,148,69,50,11,14,3,296,294,0,294,25,6,53,9,7,3,3,4,61,64,56,8,300,3,10,7,12,27,33,64,59,57,64,69,66
3995,Performing Arts Technicians,943,446,360,798,606,527,625,400,232,614,343,207,309,108,3,638,240,207,137,134,146,125,61,18,620,0,0,20,1,12,24,70,10,0,175,0,38,26,12,11,28,3,99,63,596,66,124,160,28,215,593,375,152,65,13,3,4,611,612,4,616,54,14,136,5,0,6,7,8,97,174,114,3,620,15,3,8,18,42,50,88,84,90,86,101,93
3996,Signwriters,472,391,423,347,383,340,433,391,423,257,334,340,308,210,343,347,278,340,57,76,112,91,69,18,423,0,0,253,1,6,0,3,0,0,0,0,6,130,0,10,0,0,0,1,412,11,17,201,11,174,413,169,140,91,15,0,0,415,407,10,417,24,20,40,8,6,14,18,13,102,99,60,14,420,11,10,15,21,47,68,49,49,57,55,88,75
3999,Other Miscellaneous Technicians & Trades Workers,"1,796",749,"1,259","1,292","1,383","1,209","1,153",568,680,662,"1,060",777,"1,584",499,839,757,"1,120",793,176,289,326,331,193,39,"1,354",123,9,186,28,149,30,119,6,20,10,25,10,50,12,124,4,342,3,84,"1,335",94,122,479,35,533,"1,263",698,364,214,37,15,0,"1,328","1,339",7,"1,346",63,58,167,92,24,33,59,37,245,346,177,51,"1,352",2,0,48,72,125,160,40,42,48,45,52,72
4111,Ambulance Officers & Paramedics,682,"1,635",625,"1,299",661,739,553,941,430,696,444,194,646,"1,445",625,"1,158",573,414,72,253,275,245,63,11,919,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,901,0,0,917,434,284,109,4,54,885,643,183,58,12,11,0,908,900,16,916,62,53,79,35,23,37,38,53,143,238,127,29,919,0,0,0,0,0,0,43,53,76,134,176,170
4112,"Dental Hygienists, Technicians & Therapists",369,532,463,403,366,602,83,466,223,102,137,344,322,532,352,242,202,387,70,157,133,179,79,14,633,0,0,174,0,0,4,0,0,4,0,0,0,0,0,4,5,440,0,0,632,136,266,141,0,18,562,478,103,42,8,0,0,631,627,6,632,33,15,139,7,0,9,21,15,124,163,98,10,635,0,0,1,0,7,2,70,68,75,83,92,103
4113,Diversional Therapists,244,501,449,268,716,391,0,46,0,0,157,54,0,218,262,145,151,95,9,32,66,156,125,19,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,381,4,0,408,41,91,179,9,68,387,164,123,75,19,14,0,396,402,3,405,23,20,32,17,3,9,9,14,111,90,49,32,410,0,0,0,0,0,0,22,23,26,33,34,39
4114,Enrolled & Mothercraft Nurses,"4,319","3,185","4,641","6,411","4,327","5,060",467,108,136,650,285,291,"2,188",892,"2,171","2,773","1,418","1,571",183,455,700,"1,191",625,37,"3,190",0,0,0,0,0,0,4,0,0,0,4,0,1,135,71,7,"2,946",0,6,"3,174",146,"2,050",674,13,154,"3,037","1,481",945,581,90,32,0,"3,130","3,140",29,"3,169",132,141,228,138,44,107,78,140,794,797,342,251,"3,192",0,0,10,3,22,40,416,474,364,503,609,665
4115,Indigenous Health Workers,102,406,105,0,172,55,52,159,0,0,172,0,52,247,105,0,172,55,5,40,55,43,17,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,143,0,4,158,11,32,54,4,47,148,44,35,45,20,11,0,155,25,142,167,4,3,3,19,44,3,3,15,26,20,13,12,166,0,0,0,0,0,3,99,95,96,45,96,84
4116,Massage Therapists,"1,042",859,929,846,848,629,81,473,438,105,358,194,93,317,457,319,140,148,63,151,216,210,120,20,780,0,0,0,0,0,0,3,9,0,0,0,0,5,0,1,3,704,5,42,773,120,456,91,10,61,738,470,166,104,18,9,0,768,768,4,772,64,37,117,17,3,36,24,40,111,197,113,20,780,0,0,1,0,1,0,17,19,21,26,27,33
4117,Welfare Support Workers,"3,806","4,759","3,709","4,840","5,372","6,270",858,"1,352","1,683","1,403",924,"1,525","2,490","3,032","2,649","3,113","3,129","4,248",362,"1,065","1,202","1,370",844,88,"4,931",5,3,3,4,9,4,7,48,4,3,0,109,44,326,"1,356",194,"2,522",17,233,"4,891","1,521",853,"1,371",76,955,"4,776","2,962","1,033",680,126,47,4,"4,851","4,647",254,"4,901",215,183,502,195,153,116,160,200,"1,186","1,203",650,164,"4,934",111,311,162,66,123,173,814,708,779,847,986,"1,083"
4211,Child Carers,"8,522","7,441","7,372","6,991","7,463","8,103",792,100,418,523,429,394,"3,664","3,809","2,263","2,316","2,581","3,553","1,991","1,714","1,724","1,511",787,99,"7,825",11,0,4,0,9,4,23,16,8,0,6,0,8,113,146,"1,903","5,132",101,243,"7,728",790,"2,109","1,762",254,"2,626","7,541","4,658","1,613","1,105",225,93,8,"7,702","7,637",135,"7,772",340,398,748,271,132,168,277,306,"2,106","1,909",878,286,"7,824",131,96,126,120,137,169,"1,621","1,695","1,912","2,319","2,499","3,030"
4221,Education Aides,"3,121","3,312","4,956","3,213","4,251","5,492",610,565,693,330,224,533,709,543,645,642,874,"1,172",240,435,"1,324","1,603",770,93,"4,464",0,0,0,0,0,4,0,4,0,0,1,0,3,9,160,"4,144",98,7,8,"4,437",561,499,"1,052",98,"2,057","4,267","2,262","1,280",696,129,47,0,"4,414","4,166",274,"4,440",209,184,389,281,195,119,219,261,999,864,468,269,"4,463",0,1,0,0,0,2,949,"1,081","1,105","1,118","1,080",735
4231,Aged & Disabled Carers,"9,760","11,671","12,450","12,142","11,044","12,902","2,009","2,496","1,800","3,157","1,346","1,879","3,590","4,146","3,885","4,322","3,237","3,903","1,172","1,916","2,566","3,533","2,654",427,"12,269",4,0,11,0,8,2,13,25,6,0,19,11,6,433,705,30,"10,780",4,88,"12,145","1,369","1,064","5,637",235,"3,202","11,508","5,328","2,940","2,701",628,306,28,"11,932","11,966",184,"12,149",424,506,"1,066",385,140,456,373,508,"3,249","3,071","1,507",571,"12,267",226,285,390,429,286,315,"1,616","1,693","1,812","2,056","2,328","2,561"
4232,Dental Assistants,"1,144","2,080","1,551","1,274","1,138","1,583",44,0,2,0,0,2,793,"1,628","1,026",830,669,745,485,403,296,257,100,8,"1,549",0,0,3,0,0,3,0,0,0,0,41,0,0,12,11,6,"1,465",0,1,"1,543",67,121,631,59,420,"1,298","1,046",355,116,10,1,0,"1,528","1,537",7,"1,544",67,64,172,48,16,42,42,48,395,381,212,64,"1,552",76,75,85,86,101,110,205,203,218,238,261,284
4233,Nursing Support & Personal Care Workers,"5,931","6,134","5,783","6,276","6,788","5,822","1,066","1,174",441,878,"1,120","1,056","2,363","2,093","2,153","2,382","2,677","2,258",728,985,"1,214","1,686","1,150",148,"5,910",0,0,0,0,0,1,3,25,4,0,5,0,3,281,72,9,"5,448",0,25,"5,876",668,485,"2,342",96,"1,932","5,524","2,655","1,464","1,254",246,122,3,"5,744","5,780",67,"5,846",183,207,518,186,96,154,304,286,"1,417","1,491",798,261,"5,909",276,136,70,30,18,30,688,714,755,842,968,"1,064"
